# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2508, i.e. number of multipoles equal to 2507
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.322858790083e-10       3.746708256011e-15       3.301995911854e-13       2.239637817351e-19       8.130365788609e-09       4.403691293881e-10      -1.714014493985e-12 
    3       1.256030468151e-10       4.478843003660e-15       3.618354182062e-13       4.478987132313e-19       4.969042726622e-09       3.103003055421e-10      -1.243948510288e-12 
    4       1.191734907878e-10       3.593170738076e-15       3.302165349733e-13       7.464393147771e-19       3.441270836619e-09       2.339567038891e-10      -7.650717925161e-13 
    5       1.144052646982e-10       2.222261579677e-15       2.748092564768e-13       1.119562313998e-18       2.561734438596e-09       1.841920657132e-10      -3.822732239973e-13 
    6       1.111921139561e-10       1.180686689863e-15       2.169385314675e-13       1.567250946453e-18       1.996591874852e-09       1.495660946209e-10      -1.190927529397e-13 
    7       1.092194449410e-10       6.523460226756e-16       1.682220023476e-13       2.089502124701e-18       1.607580794165e-09       1.243314740192e-10       3.151004953795e-14 
    8       1.081005398011e-10       4.523601004639e-16       1.329810359130e-13       2.686334059288e-18       1.326212349377e-09       1.052086464014e-10       9.249704032706e-14 
    9       1.076526296634e-10       3.689314745056e-16       1.112558786555e-13       3.357793876884e-18       1.114904614879e-09       9.028970711478e-11       9.312786415941e-14 
   10       1.077148125456e-10       3.070606096544e-16       1.008386128101e-13       4.103964767088e-18       9.515607676760e-10       7.847514077289e-11       6.207710495414e-14 
   11       1.081274774993e-10       2.602343673724e-16       9.873511247286e-14       4.924972198884e-18       8.151981926822e-10       6.968195735090e-11       2.308447963561e-14 
   12       1.088726300192e-10       2.398168041663e-16       1.020088568479e-13       5.820988780299e-18       7.124049045301e-10       6.177484130354e-11      -9.386864960965e-15 
   13       1.098253293784e-10       2.431898227012e-16       1.082469231374e-13       6.792237389198e-18       6.279971146023e-10       5.507643433557e-11      -2.801127646919e-14 
   14       1.109195480162e-10       2.608510372526e-16       1.158729343759e-13       7.838992277130e-18       5.577549602025e-10       4.927920803767e-11      -3.256240892829e-14 
   15       1.122007617979e-10       2.894116492803e-16       1.240357477062e-13       8.961577938512e-18       4.986217184524e-10       4.442784974369e-11      -2.689862252386e-14 
   16       1.136303605327e-10       3.324678250922e-16       1.323564056147e-13       1.016036564027e-17       4.483355145791e-10       4.035062271344e-11      -1.671290784117e-14 
   17       1.151376904486e-10       3.938756223385e-16       1.409747252101e-13       1.143576761775e-17       4.051908219344e-10       3.681090642973e-11      -7.188476127326e-15 
   18       1.167425311659e-10       4.737876592691e-16       1.500857506596e-13       1.278823031921e-17       3.677423931478e-10       3.361903820906e-11      -1.558581535945e-15 
   19       1.184530925402e-10       5.713566247677e-16       1.597683406106e-13       1.421821808877e-17       3.353848885937e-10       3.077467245001e-11      -3.522496183105e-16 
   20       1.202130859406e-10       6.852158588630e-16       1.699976407628e-13       1.572621511480e-17       3.068854390284e-10       2.827589182407e-11      -2.858292453939e-15 
   21       1.220372758369e-10       8.156142693594e-16       1.805369532939e-13       1.731269507043e-17       2.817974575615e-10       2.613034415968e-11      -7.327465802484e-15 
   22       1.239306059034e-10       9.630956841520e-16       1.910170473159e-13       1.897812464499e-17       2.595176543409e-10       2.429466658681e-11      -1.142979871960e-14 
   23       1.258801932788e-10       1.127749116029e-15       2.011213144893e-13       2.072293325376e-17       2.397404717744e-10       2.265043772451e-11      -1.398856799336e-14 
   24       1.278509901553e-10       1.309615011227e-15       2.105320534070e-13       2.254751644388e-17       2.220107538568e-10       2.105067309240e-11      -1.433776473384e-14 
   25       1.298609604982e-10       1.510087098813e-15       2.190536699816e-13       2.445220739167e-17       2.061202643186e-10       1.954559832434e-11      -1.291923872157e-14 
   26       1.319284360789e-10       1.731061975317e-15       2.265650817419e-13       2.643728038643e-17       1.917813201705e-10       1.822899253474e-11      -1.067400535359e-14 
   27       1.340512458093e-10       1.974179559936e-15       2.331424970461e-13       2.850292999471e-17       1.788225473161e-10       1.708928020085e-11      -8.444931316548e-15 
   28       1.362111194726e-10       2.240965809364e-15       2.389314721107e-13       3.064927392848e-17       1.670213881879e-10       1.607216200521e-11      -7.020096256377e-15 
   29       1.384087993557e-10       2.532508271412e-15       2.439585062298e-13       3.287634739459e-17       1.563176988551e-10       1.515056885289e-11      -6.517724591685e-15 
   30       1.406380677362e-10       2.849703531918e-15       2.482231442739e-13       3.518409640349e-17       1.465964319845e-10       1.429236920796e-11      -6.805783455246e-15 
   31       1.428830878425e-10       3.193397689032e-15       2.517098962999e-13       3.757238245229e-17       1.376592342073e-10       1.346166333047e-11      -7.660321618183e-15 
   32       1.451495514080e-10       3.564529597982e-15       2.542949407750e-13       4.004101737847e-17       1.294601287884e-10       1.267261346460e-11      -8.717624156978e-15 
   33       1.474427482415e-10       3.964031603253e-15       2.558013458432e-13       4.258973021367e-17       1.219414403806e-10       1.195500985900e-11      -9.489638156542e-15 
   34       1.497612305359e-10       4.392800217747e-15       2.560512333502e-13       4.521817495992e-17       1.149982784893e-10       1.133130024114e-11      -9.524967508360e-15 
   35       1.521070342006e-10       4.851739226193e-15       2.549718673855e-13       4.792601132067e-17       1.085951603947e-10       1.078540460961e-11      -8.955699477295e-15 
   36       1.544773479245e-10       5.341725334679e-15       2.525263460261e-13       5.071284434460e-17       1.026806915169e-10       1.028173139966e-11      -8.146782053754e-15 
