# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2508, i.e. number of multipoles equal to 2507
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       1.040086804299e-10       3.797889911664e-15       4.032398368903e-13       0.000000000000e+00 
    3       1.216858623149e-10       4.544144322872e-15       4.437861149297e-13       0.000000000000e+00 
    4       1.262712144650e-10       3.639489442754e-15       3.820641178400e-13       0.000000000000e+00 
    5       1.288568590948e-10       2.243992418621e-15       2.963933211967e-13       0.000000000000e+00 
    6       1.322442417494e-10       1.180753403196e-15       2.188753030730e-13       0.000000000000e+00 
    7       1.360103740475e-10       6.393620722063e-16       1.610951755961e-13       0.000000000000e+00 
    8       1.428084869468e-10       4.355599181592e-16       1.242875067933e-13       0.000000000000e+00 
    9       1.482199229086e-10       3.550203943486e-16       1.050844757832e-13       0.000000000000e+00 
   10       1.575116574260e-10       2.990707790962e-16       9.850419337814e-14       0.000000000000e+00 
   11       1.654978869047e-10       2.578639603303e-16       9.972770712182e-14       0.000000000000e+00 
   12       1.741262908431e-10       2.406483983519e-16       1.049335291023e-13       0.000000000000e+00 
   13       1.867370022981e-10       2.441560695776e-16       1.115813473008e-13       0.000000000000e+00 
   14       1.931236249440e-10       2.594349032751e-16       1.184787339914e-13       0.000000000000e+00 
   15       2.073658714325e-10       2.842744636186e-16       1.253798889878e-13       0.000000000000e+00 
   16       2.176546301007e-10       3.234728500212e-16       1.324768230895e-13       0.000000000000e+00 
   17       2.252818834129e-10       3.817319565376e-16       1.402708117991e-13       0.000000000000e+00 
   18       2.347780061596e-10       4.595802481890e-16       1.490777459866e-13       0.000000000000e+00 
   19       2.472758983627e-10       5.560335635554e-16       1.589057165469e-13       0.000000000000e+00 
   20       2.625403360276e-10       6.693130561153e-16       1.695523367490e-13       0.000000000000e+00 
   21       2.774523155504e-10       7.991804767648e-16       1.805772736613e-13       0.000000000000e+00 
   22       2.878288797898e-10       9.456493013424e-16       1.913887019251e-13       0.000000000000e+00 
   23       2.926345485026e-10       1.108680166312e-15       2.016034957345e-13       0.000000000000e+00 
   24       2.931772411278e-10       1.288362223010e-15       2.109075566596e-13       0.000000000000e+00 
   25       2.964140991473e-10       1.486288228493e-15       2.191839720439e-13       0.000000000000e+00 
   26       3.094349006506e-10       1.704626427791e-15       2.264280193515e-13       0.000000000000e+00 
   27       3.257953187394e-10       1.945187296802e-15       2.328038019976e-13       0.000000000000e+00 
   28       3.354628895483e-10       2.209619831821e-15       2.385277537797e-13       0.000000000000e+00 
   29       3.384137397964e-10       2.498979989608e-15       2.436116725643e-13       0.000000000000e+00 
   30       3.384062182297e-10       2.814061607526e-15       2.480023474773e-13       0.000000000000e+00 
   31       3.393075046010e-10       3.155590581356e-15       2.516235712694e-13       0.000000000000e+00 
   32       3.411577575594e-10       3.524438623650e-15       2.543210360132e-13       0.000000000000e+00 
   33       3.426264256103e-10       3.921477644574e-15       2.558926829255e-13       0.000000000000e+00 
   34       3.423733575416e-10       4.347555842377e-15       2.561402048071e-13       0.000000000000e+00 
   35       3.403501015648e-10       4.803625727104e-15       2.550081808560e-13       0.000000000000e+00 
   36       3.369500693475e-10       5.290656223498e-15       2.524939479199e-13       0.000000000000e+00 
   37       3.325781889301e-10       5.809560270821e-15       2.486091856585e-13       0.000000000000e+00 
   38       3.273257865038e-10       6.361068259523e-15       2.433697575428e-13       0.000000000000e+00 
   39       3.211913540983e-10       6.945806265642e-15       2.368042385418e-13       0.000000000000e+00 
   40       3.141663265570e-10       7.564323641309e-15       2.289578218266e-13       0.000000000000e+00 
   41       3.064138489327e-10       8.217164835411e-15       2.198667041842e-13       0.000000000000e+00 
   42       2.988772384219e-10       8.905124753814e-15       2.094690088807e-13       0.000000000000e+00 
   43       2.928680783652e-10       9.629068280023e-15       1.976664089541e-13       0.000000000000e+00 
   44       2.899148850287e-10       1.038986109680e-14       1.843472659286e-13       0.000000000000e+00 
   45       2.912727017235e-10       1.118827760244e-14       1.694052226419e-13       0.000000000000e+00 
   46       2.962503673928e-10       1.202469101248e-14       1.528037458379e-13       0.000000000000e+00 
   47       3.034024270854e-10       1.289929120159e-14       1.345293376432e-13       0.000000000000e+00 
   48       3.109703287597e-10       1.381216424489e-14       1.145739226958e-13       0.000000000000e+00 
   49       3.168648506252e-10       1.476328744213e-14       9.293506483624e-14       0.000000000000e+00 
   50       3.192416443005e-10       1.575263264773e-14       6.960911655070e-14       0.000000000000e+00 
   51       3.184528066720e-10       1.678052087024e-14       4.456797239877e-14       0.000000000000e+00 
   52       3.155946647368e-10       1.784735532397e-14       1.777638013122e-14       0.000000000000e+00 
   53       3.119710521566e-10       1.895352165377e-14      -1.080165669757e-14       0.000000000000e+00 
   54       3.091036479309e-10       2.009938805601e-14      -4.120299461437e-14       0.000000000000e+00 
   55       3.083646137435e-10       2.128521247712e-14      -7.345768847297e-14       0.000000000000e+00 
   56       3.097439519034e-10       2.251083693526e-14      -1.075635118362e-13       0.000000000000e+00 
   57       3.127940416525e-10       2.377591747349e-14      -1.435053098912e-13       0.000000000000e+00 
   58       3.169762301237e-10       2.508000700579e-14      -1.812620394529e-13       0.000000000000e+00 
   59       3.216564553784e-10       2.642255181773e-14      -2.208065818242e-13       0.000000000000e+00 
   60       3.261008694438e-10       2.780288806708e-14      -2.621055556555e-13       0.000000000000e+00 
   61       3.296434400193e-10       2.922032162063e-14      -3.051274440575e-13       0.000000000000e+00 
   62       3.322426186832e-10       3.067439642236e-14      -3.498695310069e-13       0.000000000000e+00 
   63       3.340424244875e-10       3.216468042779e-14      -3.963367065386e-13       0.000000000000e+00 
   64       3.352125495309e-10       3.369068674507e-14      -4.445337611645e-13       0.000000000000e+00 
   65       3.359494387489e-10       3.525187277972e-14      -4.944654625383e-13       0.000000000000e+00 
   66       3.364773697042e-10       3.684763937949e-14      -5.461366321205e-13       0.000000000000e+00 
   67       3.370495323770e-10       3.847732997913e-14      -5.995522218432e-13       0.000000000000e+00 
   68       3.378942397036e-10       4.014021348480e-14      -6.547124016091e-13       0.000000000000e+00 
   69       3.390384891995e-10       4.183543081159e-14      -7.115964945367e-13       0.000000000000e+00 
   70       3.404504257961e-10       4.356203592697e-14      -7.701759093409e-13       0.000000000000e+00 
   71       3.420907301387e-10       4.531900990454e-14      -8.304187914631e-13       0.000000000000e+00 
   72       3.439122950720e-10       4.710525965292e-14      -8.922899721361e-13       0.000000000000e+00 
   73       3.458599021239e-10       4.891961664472e-14      -9.557509174486e-13       0.000000000000e+00 
   74       3.478698979910e-10       5.076083564546e-14      -1.020759677410e-12       0.000000000000e+00 
   75       3.498698710222e-10       5.262759344253e-14      -1.087270835016e-12       0.000000000000e+00 
   76       3.517930541542e-10       5.451852464813e-14      -1.155238771099e-12       0.000000000000e+00 
   77       3.536252810499e-10       5.643233945526e-14      -1.224628258824e-12       0.000000000000e+00 
   78       3.553660446584e-10       5.836772514564e-14      -1.295405717589e-12       0.000000000000e+00 
   79       3.570145092045e-10       6.032331041810e-14      -1.367536085407e-12       0.000000000000e+00 
   80       3.585694886518e-10       6.229766487774e-14      -1.440982835967e-12       0.000000000000e+00 
   81       3.600294251644e-10       6.428929852516e-14      -1.515707995689e-12       0.000000000000e+00 
   82       3.613923675696e-10       6.629666124560e-14      -1.591672160782e-12       0.000000000000e+00 
   83       3.626559498207e-10       6.831814229812e-14      -1.668834514305e-12       0.000000000000e+00 
   84       3.638234436251e-10       7.035209267790e-14      -1.747151366813e-12       0.000000000000e+00 
   85       3.649231163902e-10       7.239689758165e-14      -1.826571462980e-12       0.000000000000e+00 
   86       3.659920578476e-10       7.445091507473e-14      -1.907039924574e-12       0.000000000000e+00 
   87       3.670704705782e-10       7.651245416155e-14      -1.988499650041e-12       0.000000000000e+00 
   88       3.682017505613e-10       7.857977465923e-14      -2.070891306747e-12       0.000000000000e+00 
   89       3.694325677236e-10       8.065108707114e-14      -2.154153323228e-12       0.000000000000e+00 
   90       3.708129464887e-10       8.272455246053e-14      -2.238221881428e-12       0.000000000000e+00 
   91       3.723963463263e-10       8.479828232411e-14      -2.323030908948e-12       0.000000000000e+00 
   92       3.742397423014e-10       8.687033846565e-14      -2.408512071284e-12       0.000000000000e+00 
   93       3.763901186866e-10       8.893877394198e-14      -2.494597395256e-12       0.000000000000e+00 
   94       3.788414511619e-10       9.100176321987e-14      -2.581227607448e-12       0.000000000000e+00 
   95       3.815713735578e-10       9.305749145212e-14      -2.668345041362e-12       0.000000000000e+00 
   96       3.845540837762e-10       9.510411558096e-14      -2.755891145968e-12       0.000000000000e+00 
   97       3.877602378344e-10       9.713976477540e-14      -2.843806514062e-12       0.000000000000e+00 
   98       3.911568439085e-10       9.916254086865e-14      -2.932030910633e-12       0.000000000000e+00 
   99       3.947071563773e-10       1.011705187955e-13      -3.020503301219e-12       0.000000000000e+00 
  100       3.983705698654e-10       1.031617470298e-13      -3.109161880273e-12       0.000000000000e+00 
  101       4.021025132873e-10       1.051342480215e-13      -3.197944099524e-12       0.000000000000e+00 
  102       4.058543438905e-10       1.070860186347e-13      -3.286786696338e-12       0.000000000000e+00 
  103       4.095732412994e-10       1.090150305843e-13      -3.375625722078e-12       0.000000000000e+00 
  104       4.132135815074e-10       1.109192788094e-13      -3.464395719780e-12       0.000000000000e+00 
  105       4.167730369109e-10       1.127969330912e-13      -3.553027069558e-12       0.000000000000e+00 
  106       4.202611780323e-10       1.146462078270e-13      -3.641448335803e-12       0.000000000000e+00 
  107       4.236884489976e-10       1.164653168765e-13      -3.729587104641e-12       0.000000000000e+00 
  108       4.270661877333e-10       1.182524745255e-13      -3.817370002942e-12       0.000000000000e+00 
  109       4.304066461628e-10       1.200058964507e-13      -3.904722717333e-12       0.000000000000e+00 
  110       4.337230104040e-10       1.217238006830e-13      -3.991570013218e-12       0.000000000000e+00 
  111       4.370294209655e-10       1.234044085725e-13      -4.077835753782e-12       0.000000000000e+00 
  112       4.403409929437e-10       1.250459457522e-13      -4.163442919014e-12       0.000000000000e+00 
  113       4.436738362198e-10       1.266466431022e-13      -4.248313624714e-12       0.000000000000e+00 
  114       4.470450756568e-10       1.282047377140e-13      -4.332369141509e-12       0.000000000000e+00 
  115       4.504728712957e-10       1.297184738542e-13      -4.415529913867e-12       0.000000000000e+00 
  116       4.539728994800e-10       1.311861524243e-13      -4.497716937362e-12       0.000000000000e+00 
  117       4.575472676849e-10       1.326062840976e-13      -4.578856039787e-12       0.000000000000e+00 
  118       4.611942835932e-10       1.339774566977e-13      -4.658874158673e-12       0.000000000000e+00 
  119       4.649118626015e-10       1.352982897474e-13      -4.737698060293e-12       0.000000000000e+00 
  120       4.686975167253e-10       1.365674358615e-13      -4.815254370687e-12       0.000000000000e+00 
  121       4.725483435047e-10       1.377835821401e-13      -4.891469606681e-12       0.000000000000e+00 
  122       4.764610149094e-10       1.389454515611e-13      -4.966270206916e-12       0.000000000000e+00 
  123       4.804317662442e-10       1.400518043733e-13      -5.039582562864e-12       0.000000000000e+00 
  124       4.844563850543e-10       1.411014394893e-13      -5.111333049857e-12       0.000000000000e+00 
  125       4.885302000305e-10       1.420931958787e-13      -5.181448058105e-12       0.000000000000e+00 
  126       4.926480699148e-10       1.430259539607e-13      -5.249854023722e-12       0.000000000000e+00 
